"group1","group2","n1","n2","delta","conf.low","conf.high","magnitude","p_adj","p_source","direction"
"Uganda","Ghana",992,977,-0.58825878264602,-0.625906266302733,-0.547876133791974,"large",4.89059325798558e-116,"Wilcoxon-Holm (fallback)","Ghana > Uganda"
"Zim/Zam","Ghana",992,900,-0.552287186379928,-0.590018364903957,-0.512148976567864,"large",6.15286525129865e-102,"Wilcoxon-Holm (fallback)","Ghana > Zim/Zam"
"Uganda","Tanzania",900,977,-0.41171954964176,-0.457249138332472,-0.364037437709223,"medium",5.9312981583919e-56,"Wilcoxon-Holm (fallback)","Tanzania > Uganda"
"Zim/Zam","Tanzania",900,900,-0.309667901234568,-0.355194453618829,-0.262675813011239,"small",4.1751588477064e-33,"Wilcoxon-Holm (fallback)","Tanzania > Zim/Zam"
"Zim/Zam","Mali",104,900,-0.662403846153846,-0.749162999419555,-0.553300013489618,"large",5.48735163409545e-31,"Wilcoxon-Holm (fallback)","Mali > Zim/Zam"
"Tanzania","Ghana",992,900,-0.295997983870968,-0.342489776621161,-0.248060099957151,"small",4.22105266901677e-30,"Wilcoxon-Holm (fallback)","Ghana > Tanzania"
"Uganda","Mali",104,977,-0.646504212266751,-0.716864363892798,-0.563108676458731,"large",2.45260520079121e-28,"Wilcoxon-Holm (fallback)","Mali > Uganda"
"Tanzania","Mali",104,900,-0.438867521367521,-0.544969494406558,-0.318931462891148,"medium",3.97537397667571e-14,"Wilcoxon-Holm (fallback)","Mali > Tanzania"
"Zim/Zam","Uganda",977,900,0.152539520072785,0.100992385224187,0.203269866728045,"small",6.22634512590199e-09,"Wilcoxon-Holm (fallback)","Zim/Zam > Uganda"
"Mali","Ghana",992,104,0.130757599255583,0.0193086319987922,0.238996988776414,"negligible",0.0246298772089232,"Wilcoxon-Holm (fallback)","Mali > Ghana"
